clean_date,total_articles,positive,neutral,negative,average_score,average_confidence,positive_ratio,neutral_ratio,negative_ratio,sentiment_index
2017-05-03,2,1,1,0,0.5,0.9452635049819946,0.5,0.5,0.0,0.5
2017-05-04,1,0,0,1,-1.0,0.9712364673614502,0.0,0.0,1.0,-1.0
2017-05-07,1,0,0,1,-1.0,0.9738047122955322,0.0,0.0,1.0,-1.0
2017-05-09,1,1,0,0,1.0,0.9233565330505372,1.0,0.0,0.0,1.0
2017-05-11,1,1,0,0,1.0,0.9303097724914552,1.0,0.0,0.0,1.0
2017-05-15,2,1,1,0,0.5,0.6789872646331787,0.5,0.5,0.0,0.5
2017-05-16,2,0,1,1,-0.5,0.9536486268043518,0.0,0.5,0.5,-0.5
2017-05-17,1,0,0,1,-1.0,0.970690906047821,0.0,0.0,1.0,-1.0
2017-05-18,1,0,0,1,-1.0,0.6518579721450806,0.0,0.0,1.0,-1.0
2017-05-21,2,0,1,1,-0.5,0.9645086526870728,0.0,0.5,0.5,-0.5
2017-05-22,1,0,0,1,-1.0,0.9728427529335022,0.0,0.0,1.0,-1.0
2017-05-23,1,1,0,0,1.0,0.9513198137283324,1.0,0.0,0.0,1.0
2017-05-24,1,1,0,0,1.0,0.9318343997001648,1.0,0.0,0.0,1.0
2017-05-30,2,0,1,1,-0.5,0.9577884674072266,0.0,0.5,0.5,-0.5
2017-05-31,1,1,0,0,1.0,0.5926830768585205,1.0,0.0,0.0,1.0
2017-06-01,2,0,1,1,-0.5,0.9556766450405121,0.0,0.5,0.5,-0.5
2017-06-04,1,0,0,1,-1.0,0.9670866131782532,0.0,0.0,1.0,-1.0
2017-06-05,1,1,0,0,1.0,0.9353302121162416,1.0,0.0,0.0,1.0
2017-06-06,3,1,2,0,0.3333333333333333,0.9127980271975199,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333
2017-06-07,1,0,0,1,-1.0,0.9678071737289428,0.0,0.0,1.0,-1.0
2017-06-08,1,0,0,1,-1.0,0.9718329906463624,0.0,0.0,1.0,-1.0
2017-06-09,1,0,1,0,0.0,0.9331861138343812,0.0,1.0,0.0,0.0
2017-06-11,1,0,0,1,-1.0,0.7714973092079163,0.0,0.0,1.0,-1.0
2017-06-12,1,0,0,1,-1.0,0.9710665345191956,0.0,0.0,1.0,-1.0
2017-06-13,3,0,2,1,-0.3333333333333333,0.901794453461965,0.0,0.6666666666666666,0.3333333333333333,-0.3333333333333333
2017-06-14,2,0,1,1,-0.5,0.9556808173656464,0.0,0.5,0.5,-0.5
2017-06-15,2,1,1,0,0.5,0.8858597874641418,0.5,0.5,0.0,0.5
2017-06-18,1,0,0,1,-1.0,0.964408040046692,0.0,0.0,1.0,-1.0
2017-06-19,3,0,1,2,-0.6666666666666666,0.9188650647799174,0.0,0.3333333333333333,0.6666666666666666,-0.6666666666666666
2017-06-20,1,0,0,1,-1.0,0.9641808867454528,0.0,0.0,1.0,-1.0
2017-06-22,1,1,0,0,1.0,0.9352135062217712,1.0,0.0,0.0,1.0
2017-06-25,1,1,0,0,1.0,0.946776568889618,1.0,0.0,0.0,1.0
2017-06-27,1,0,0,1,-1.0,0.968546450138092,0.0,0.0,1.0,-1.0
2017-06-28,1,0,0,1,-1.0,0.971944272518158,0.0,0.0,1.0,-1.0
2017-06-29,1,0,1,0,0.0,0.9118582606315612,0.0,1.0,0.0,0.0
2017-07-02,2,0,1,1,-0.5,0.9048566222190857,0.0,0.5,0.5,-0.5
2017-07-03,1,1,0,0,1.0,0.9031124711036682,1.0,0.0,0.0,1.0
2017-07-04,1,0,0,1,-1.0,0.9611232876777648,0.0,0.0,1.0,-1.0
2017-07-06,1,1,0,0,1.0,0.9378803372383118,1.0,0.0,0.0,1.0
2017-07-09,2,2,0,0,1.0,0.8482090532779694,1.0,0.0,0.0,1.0
2017-07-10,1,0,0,1,-1.0,0.9678234457969666,0.0,0.0,1.0,-1.0
2017-07-11,1,1,0,0,1.0,0.9322040677070618,1.0,0.0,0.0,1.0
2017-07-12,1,1,0,0,1.0,0.9336528182029724,1.0,0.0,0.0,1.0
2017-07-13,1,0,0,1,-1.0,0.972650110721588,0.0,0.0,1.0,-1.0
2017-07-17,1,1,0,0,1.0,0.9332093596458436,1.0,0.0,0.0,1.0
2017-07-18,1,1,0,0,1.0,0.9288178086280824,1.0,0.0,0.0,1.0
2017-07-19,1,0,0,1,-1.0,0.9704795479774476,0.0,0.0,1.0,-1.0
2017-07-20,1,0,0,1,-1.0,0.968163251876831,0.0,0.0,1.0,-1.0
2017-07-23,2,0,1,1,-0.5,0.957938253879547,0.0,0.5,0.5,-0.5
2017-07-24,2,0,1,1,-0.5,0.9037290513515472,0.0,0.5,0.5,-0.5
2017-07-25,1,1,0,0,1.0,0.9093096852302552,1.0,0.0,0.0,1.0
2017-07-26,1,1,0,0,1.0,0.939656138420105,1.0,0.0,0.0,1.0
2017-07-27,3,0,1,2,-0.6666666666666666,0.9364762703577677,0.0,0.3333333333333333,0.6666666666666666,-0.6666666666666666
2017-07-31,1,1,0,0,1.0,0.938040554523468,1.0,0.0,0.0,1.0
2017-08-01,2,1,1,0,0.5,0.90367391705513,0.5,0.5,0.0,0.5
2017-08-02,3,1,2,0,0.3333333333333333,0.9279692769050598,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333
2017-08-03,1,0,0,1,-1.0,0.9707819223403932,0.0,0.0,1.0,-1.0
2017-08-04,1,1,0,0,1.0,0.9283460378646852,1.0,0.0,0.0,1.0
2017-08-06,1,1,0,0,1.0,0.8741658329963684,1.0,0.0,0.0,1.0
2017-08-07,1,1,0,0,1.0,0.9404049515724182,1.0,0.0,0.0,1.0
2017-08-08,1,0,1,0,0.0,0.5741003155708313,0.0,1.0,0.0,0.0
2017-08-09,1,0,0,1,-1.0,0.969647228717804,0.0,0.0,1.0,-1.0
2017-08-10,1,0,0,1,-1.0,0.9683200716972352,0.0,0.0,1.0,-1.0
2017-08-13,2,0,1,1,-0.5,0.9565466940402985,0.0,0.5,0.5,-0.5
2017-08-14,1,0,0,1,-1.0,0.9234359860420228,0.0,0.0,1.0,-1.0
2017-08-15,1,0,0,1,-1.0,0.9605457186698914,0.0,0.0,1.0,-1.0
