clean_date,total_articles,positive,neutral,negative,average_confidence,weighted_sentiment,positive_ratio,neutral_ratio,negative_ratio,weighted_ma3,weighted_ma7,sentiment_ma3,sentiment_ma7,momentum,lag1,lag7
2016-09-08,1,0,1,0,0.9357889890670776,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-29,1,0,1,0,0.9146474599838256,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-31,2,1,1,0,0.9371283948421478,0.4629912972450256,0.5,0.5,0.0,0.1543304324150085,0.0,0.15433043241500852,0.0,0.4629912972450256,0.0,0.0
2017-02-01,1,0,1,0,0.8588475584983826,0.0,0.0,1.0,0.0,0.1543304324150085,0.0,0.15433043241500852,0.0,-0.4629912972450256,0.4629912972450256,0.0
2017-02-05,1,0,0,1,0.9560269713401794,-0.9560269713401794,0.0,0.0,1.0,-0.1643452246983846,0.0,-0.1643452246983846,0.0,-0.9560269713401794,0.0,0.0
2017-02-06,2,0,1,1,0.9530771672725676,-0.4767206311225891,0.0,0.5,0.5,-0.4775825341542561,0.0,-0.47758253415425617,0.0,0.47930634021759033,-0.9560269713401794,0.0
2017-02-07,2,0,0,2,0.8048713803291321,-0.8048713803291321,0.0,0.0,1.0,-0.7458729942639669,-0.2535182407924107,-0.7458729942639669,-0.2535182407924107,-0.32815074920654297,-0.4767206311225891,0.0
2017-02-08,2,1,1,0,0.8237820267677307,0.3594357967376709,0.5,0.5,0.0,-0.3073854049046834,-0.2021702698298863,-0.3073854049046834,-0.2021702698298863,1.164307177066803,-0.8048713803291321,0.0
2017-02-09,1,0,0,1,0.9655781388282776,-0.9655781388282776,0.0,0.0,1.0,-0.4703379074732463,-0.3401100039482116,-0.4703379074732463,-0.34011000394821167,-1.3250139355659485,0.3594357967376709,0.0
2017-02-12,1,0,0,1,0.9540761709213256,-0.9540761709213256,0.0,0.0,1.0,-0.5200728376706442,-0.5425482136862618,-0.5200728376706442,-0.5425482136862618,0.011501967906952015,-0.9655781388282776,0.4629912972450256
2017-02-13,1,1,0,0,0.9294135570526124,0.9294135570526124,1.0,0.0,0.0,-0.3300802508989969,-0.4097748483930315,-0.3300802508989969,-0.4097748483930315,1.883489727973938,-0.9540761709213256,0.0
2017-02-14,3,0,2,1,0.9407389362653096,-0.3228816986083984,0.0,0.6666666666666666,0.3333333333333333,-0.1158481041590371,-0.3193255237170627,-0.11584810415903718,-0.31932552371706274,-1.2522952556610107,0.9294135570526124,-0.9560269713401794
2017-02-15,2,1,0,1,0.9184579849243164,-0.033574104309082,0.5,0.0,0.5,0.190985918045044,-0.2560188770294189,0.19098591804504403,-0.2560188770294189,0.2893075942993164,-0.3228816986083984,-0.4767206311225891
2017-02-16,1,1,0,0,0.9349064230918884,0.9349064230918884,1.0,0.0,0.0,0.1928168733914693,-0.0074791908264159,0.19281687339146933,-0.007479190826415968,0.9684805274009705,-0.033574104309082,-0.8048713803291321
2017-02-19,1,1,0,0,0.7963358163833618,0.7963358163833618,1.0,0.0,0.0,0.5658893783887228,0.054935097694397,0.5658893783887228,0.05493509769439702,-0.1385706067085266,0.9349064230918884,0.3594357967376709
2017-02-20,1,0,0,1,0.7756965756416321,-0.7756965756416321,0.0,0.0,1.0,0.3185152212778727,0.0820610352924892,0.31851522127787274,0.08206103529248925,-1.572032392024994,0.7963358163833618,-0.9655781388282776
2017-02-21,1,0,0,1,0.9717639088630676,-0.9717639088630676,0.0,0.0,1.0,-0.317041556040446,0.079534215586526,-0.317041556040446,0.07953421558652608,-0.19606733322143555,-0.7756965756416321,-0.9540761709213256
