DATE,NEPSE,
19-Apr-05,293.7,
20-Apr-05,292.6,
21-Apr-05,293.6,
24-Apr-05,294.0,
25-Apr-05,295.0,
26-Apr-05,294.4,
27-Apr-05,295.3,
28-Apr-05,294.3,
1-May-05,294.8,
2-May-05,296.1,
3-May-05,297.8,
4-May-05,298.8,
5-May-05,288.9,
9-May-05,288.8,
10-May-05,289.3,
11-May-05,285.3,
12-May-05,285.4,
15-May-05,285.5,
16-May-05,284.5,
17-May-05,283.1,
18-May-05,281.4,
19-May-05,280.4,
22-May-05,279.7,
24-May-05,276.9,
25-May-05,275.5,
26-May-05,276.4,
29-May-05,278.4,
30-May-05,279.1,
31-May-05,279.9,
1-Jun-05,280.2,
2-Jun-05,281.0,
5-Jun-05,281.6,
6-Jun-05,281.4,
7-Jun-05,281.0,
8-Jun-05,280.4,
9-Jun-05,280.1,
12-Jun-05,279.7,
13-Jun-05,278.8,
14-Jun-05,277.8,
15-Jun-05,277.8,
16-Jun-05,277.9,
19-Jun-05,277.9,
20-Jun-05,278.9,
21-Jun-05,280.8,
22-Jun-05,281.2,
26-Jun-05,280.8,
27-Jun-05,280.4,
28-Jun-05,281.1,
29-Jun-05,281.5,
30-Jun-05,281.2,
3-Jul-05,281.3,
4-Jul-05,281.3,
5-Jul-05,282.5,
6-Jul-05,284.3,
10-Jul-05,285.1,
11-Jul-05,285.0,
12-Jul-05,286.2,
13-Jul-05,286.4,
14-Jul-05,286.7,
17-Jul-05,287.9,
18-Jul-05,288.0,
19-Jul-05,289.9,
20-Jul-05,290.9,
24-Jul-05,292.0,
25-Jul-05,292.5,
26-Jul-05,294.3,
27-Jul-05,294.6,
28-Jul-05,295.9,
31-Jul-05,296.8,
1-Aug-05,299.6,
2-Aug-05,300.9,
3-Aug-05,305.2,
4-Aug-05,305.9,
7-Aug-05,305.2,
8-Aug-05,300.6,
9-Aug-05,297.7,
10-Aug-05,297.8,
11-Aug-05,300.8,
14-Aug-05,300.9,
15-Aug-05,300.6,
16-Aug-05,300.1,
17-Aug-05,298.9,
18-Aug-05,297.1,
21-Aug-05,295.5,
22-Aug-05,293.7,
23-Aug-05,289.6,
24-Aug-05,292.1,
25-Aug-05,293.6,
28-Aug-05,293.9,
29-Aug-05,293.3,
30-Aug-05,291.6,
31-Aug-05,290.6,
1-Sep-05,289.4,
4-Sep-05,293.4,
5-Sep-05,296.8,
6-Sep-05,298.3,
7-Sep-05,298.2,
8-Sep-05,296.2,
11-Sep-05,295.0,
12-Sep-05,293.8,
13-Sep-05,293.8,
14-Sep-05,293.9,
15-Sep-05,293.4,
18-Sep-05,292.7,
19-Sep-05,293.1,
20-Sep-05,292.9,
21-Sep-05,293.7,
22-Sep-05,294.1,
25-Sep-05,294.9,
26-Sep-05,294.7,
27-Sep-05,296.2,
28-Sep-05,297.2,
29-Sep-05,297.0,
2-Oct-05,296.4,
5-Oct-05,296.6,
6-Oct-05,297.0,
9-Oct-05,297.3,
18-Oct-05,297.7,
19-Oct-05,298.1,
20-Oct-05,298.4,
23-Oct-05,302.8,
24-Oct-05,306.6,
25-Oct-05,305.3,
26-Oct-05,305.0,
27-Oct-05,305.7,
30-Oct-05,307.6,
31-Oct-05,307.2,
6-Nov-05,307.4,
7-Nov-05,303.9,
8-Nov-05,306.2,
10-Nov-05,308.0,
13-Nov-05,306.2,
14-Nov-05,305.0,
15-Nov-05,302.4,
16-Nov-05,300.6,
17-Nov-05,300.6,
20-Nov-05,300.6,
21-Nov-05,302.0,
22-Nov-05,302.2,
23-Nov-05,300.8,
24-Nov-05,301.2,
27-Nov-05,301.1,
28-Nov-05,301.7,
29-Nov-05,301.0,
